x,y,z,nx,ny,nz
-0.574042,-0.806543,7.691507,0.000000,0.000000,1.000000
5.516819,2.368280,-30.061969,0.881921,0.471397,-0.000000
10.686304,-1.811033,6.831321,0.866025,-0.500000,0.000000
6.516443,-9.033443,5.549686,0.866025,-0.500000,0.000000
-4.409721,-10.160127,2.258913,-0.000000,-1.000000,-0.000000
-3.946982,4.499112,-61.165772,-0.634393,0.773010,0.000000
5.187408,-2.984564,-78.144666,0.881921,-0.471397,0.000000
-1.785362,-5.709381,-50.975978,-0.290285,-0.956940,0.000000
-3.072841,5.140223,-61.355059,-0.471397,0.881921,0.000000
5.820792,-1.418089,-79.354466,0.956940,-0.290285,0.000000
-2.764399,0.450119,-81.573929,-0.000000,-0.000000,-1.000000
6.867331,-3.507541,0.000000,0.000000,0.000000,-1.000000
5.167852,-10.160127,4.019389,-0.000000,-1.000000,-0.000000
2.628033,5.377979,-64.143434,0.471397,0.881921,-0.000000
-2.825665,-1.310780,-29.755146,-0.000000,0.000000,1.000000
-1.104026,-5.497037,0.000000,0.000000,0.000000,-1.000000
-0.218592,-5.989214,-40.629469,-0.098017,-0.995185,0.000000
5.037677,-3.264692,-32.959972,0.881921,-0.471397,0.000000
4.114474,4.361654,-60.337184,0.634393,0.773010,0.000000
-0.883296,0.299626,-81.573929,-0.000000,-0.000000,-1.000000
4.738945,3.654745,-69.014621,0.773010,0.634393,0.000000
9.009704,-1.192497,0.000000,0.000000,0.000000,-1.000000
-5.456172,2.481743,-62.769117,-0.881921,0.471397,0.000000
-7.826447,1.863957,0.000000,0.000000,0.000000,-1.000000
3.610728,-1.743296,-81.573929,0.000000,0.000000,-1.000000
-10.270078,-2.531957,0.967128,-0.866025,-0.500000,-0.000000
-10.902562,-1.436462,4.585229,-0.866025,-0.500000,-0.000000
5.959840,0.516830,-59.866684,0.995185,0.098017,0.000000
2.995989,-4.279747,7.691507,-0.000000,0.000000,1.000000
0.638152,-5.947891,-39.970387,0.098017,-0.995185,0.000000
1.001077,5.912146,-67.724230,0.098017,0.995185,0.000000
5.555697,10.160127,6.328756,-0.000000,1.000000,0.000000
-5.905921,-1.064275,-49.174680,-0.995185,-0.098017,0.000000
-7.174858,6.590080,7.691507,0.000000,0.000000,1.000000
3.162511,-5.092294,-66.927291,0.471397,-0.881921,0.000000
-5.914486,0.977311,-73.666080,-0.995185,0.098017,0.000000
-2.770162,5.302009,-64.687738,-0.471397,0.881921,0.000000
-3.539467,-4.833551,-68.966852,-0.634393,-0.773010,0.000000
-0.915450,10.160127,7.130082,-0.000000,1.000000,0.000000
3.380945,4.963647,-66.262178,0.634393,0.773010,-0.000000
-5.995567,-0.154081,-30.255517,-0.995185,-0.098017,0.000000
-5.023678,-6.496625,0.000000,0.000000,0.000000,-1.000000
1.428406,10.160127,4.686628,-0.000000,1.000000,0.000000
-5.925413,0.866372,-68.081172,-0.995185,0.098017,0.000000
5.992439,-0.185841,-44.328237,0.995185,-0.098017,0.000000
-5.968984,0.423988,-39.505870,-0.995185,0.098017,0.000000
-8.729474,-5.200361,2.712863,-0.866025,-0.500000,-0.000000
-1.491547,5.798508,-70.539917,-0.290285,0.956940,0.000000
7.835198,6.749292,6.846004,0.866025,0.500000,0.000000
-5.345129,2.689489,-46.760925,-0.881921,0.471397,0.000000
3.255289,5.042703,-57.248246,0.471397,0.881921,0.000000
-4.790274,-10.160127,7.039208,-0.000000,-1.000000,-0.000000
0.978683,-5.914351,-67.557979,0.098017,-0.995185,0.000000
3.562436,-4.814701,-71.693247,0.634393,-0.773010,0.000000
-5.848421,1.327006,-71.184527,-0.956940,0.290285,0.000000
-1.008800,-4.363298,0.000000,0.000000,0.000000,-1.000000
3.203177,-5.070557,-54.315767,0.471397,-0.881921,0.000000
3.228017,9.374144,0.000000,0.000000,0.000000,-1.000000
7.059584,1.331287,0.000000,0.000000,0.000000,-1.000000
5.947298,-0.644171,-69.604893,0.995185,-0.098017,0.000000
3.460665,-4.898223,-40.073907,0.634393,-0.773010,0.000000
-1.532737,4.822194,-29.755146,0.000000,0.000000,1.000000
2.958049,5.201581,-49.014801,0.471397,0.881921,0.000000
4.655328,-3.756633,-76.780953,0.773010,-0.634393,0.000000
3.635109,-4.456622,0.000000,0.000000,0.000000,-1.000000
-4.441750,4.016877,-52.282264,-0.773010,0.634393,0.000000
5.178464,3.001298,-66.163924,0.881921,0.471397,0.000000
-1.188662,-5.890388,-37.431767,-0.290285,-0.956940,0.000000
-5.964421,0.470319,-66.954079,-0.995185,0.098017,0.000000
-5.759664,1.619600,-69.920680,-0.956940,0.290285,0.000000
4.160508,4.323876,-73.607505,0.634393,0.773010,0.000000
1.042953,-4.042704,-29.755146,0.000000,-0.000000,1.000000
-4.656835,-5.686835,0.000000,0.000000,0.000000,-1.000000
-3.968967,-0.228709,7.691507,0.000000,0.000000,1.000000
5.781384,1.547997,-48.895118,0.956940,0.290285,0.000000
-5.883978,-1.209790,-45.378585,-0.956940,-0.290285,0.000000
-5.679017,1.885458,-60.356858,-0.956940,0.290285,0.000000
-5.399947,-2.586932,-72.567354,-0.881921,-0.471397,0.000000
5.980733,0.304700,-51.333332,0.995185,0.098017,0.000000
-1.795580,5.706281,-41.886536,-0.290285,0.956940,0.000000
5.860077,1.288584,-48.039358,0.956940,0.290285,0.000000
0.176599,-5.993350,-58.570865,0.098017,-0.995185,0.000000
0.137216,5.997229,-59.648586,0.098017,0.995185,-0.000000
5.911819,-1.004394,-76.182490,0.995185,-0.098017,0.000000
6.144308,9.678000,1.431571,0.866025,0.500000,0.000000
-1.912809,-5.670720,-54.628736,-0.290285,-0.956940,0.000000
-4.756187,-1.805740,0.000000,0.000000,0.000000,-1.000000
-5.217336,2.928574,-68.516961,-0.881921,0.471397,0.000000
0.718582,3.333099,-29.755146,0.000000,0.000000,1.000000
-8.703036,-5.246154,4.899714,-0.866025,-0.500000,0.000000
-2.325406,5.539736,-56.504728,-0.471397,0.881921,0.000000
-3.133346,4.171232,-81.573929,-0.000000,-0.000000,-1.000000
-2.582321,-5.402412,-57.661696,-0.471397,-0.881921,0.000000
4.808230,-3.570321,-63.592150,0.773010,-0.634393,0.000000
-2.451652,1.293598,-29.755146,0.000000,0.000000,1.000000
5.773051,-1.575470,-77.932543,0.956940,-0.290285,0.000000
8.326013,5.899176,3.791751,0.866025,0.500000,0.000000
3.205276,0.891980,7.691507,-0.000000,0.000000,1.000000
5.974777,5.721504,7.691507,0.000000,0.000000,1.000000
4.606215,3.816477,-73.995573,0.773010,0.634393,0.000000
1.321331,5.304558,-29.755146,0.000000,0.000000,1.000000
-4.453507,4.002552,-35.367424,-0.773010,0.634393,0.000000
-4.434826,4.025315,-57.056353,-0.773010,0.634393,0.000000
0.457894,5.965645,-56.545833,0.098017,0.995185,-0.000000
-4.868734,3.496596,-35.417817,-0.773010,0.634393,0.000000
-7.031524,-8.141296,1.675539,-0.866025,-0.500000,0.000000
-0.978361,5.914383,-66.931292,-0.098017,0.995185,0.000000
5.268147,2.833514,-73.803515,0.881921,0.471397,0.000000
-11.724409,0.012982,4.595945,-0.866025,0.500000,0.000000
-4.043872,-4.419597,-62.556745,-0.634393,-0.773010,0.000000
9.012170,4.710718,2.853758,0.866025,0.500000,0.000000
-5.304332,-2.765816,-46.003012,-0.881921,-0.471397,0.000000
0.042251,-10.160127,0.502323,-0.000000,-1.000000,-0.000000
-0.738324,5.938025,-55.001867,-0.098017,0.995185,0.000000
4.176378,-10.160127,7.686436,-0.000000,-1.000000,-0.000000
7.702598,-2.909915,7.691507,0.000000,0.000000,1.000000
3.551120,-4.823988,-58.939125,0.634393,-0.773010,0.000000
1.538880,-6.214163,7.691507,-0.000000,0.000000,1.000000
7.378761,-4.173444,0.000000,0.000000,0.000000,-1.000000
-0.922502,10.160127,1.529605,-0.000000,1.000000,0.000000
-8.446746,-3.058074,7.691507,0.000000,0.000000,1.000000
4.955878,3.390411,-49.907147,0.773010,0.634393,0.000000
5.465495,-7.652300,0.000000,0.000000,0.000000,-1.000000
1.819615,-8.145547,7.691507,-0.000000,0.000000,1.000000
4.767220,-3.620292,-75.976785,0.773010,-0.634393,0.000000
5.465339,-2.464594,-43.594425,0.881921,-0.471397,0.000000
